[5/31/23, 17:42:05] Хабиб Вентиляция : ‎Сообщения и звонки защищены сквозным шифрованием. Прочитать, прослушать или переслать их могут только участники этого чата.
[5/31/23, 17:42:05] Хабиб Вентиляция : ‎‎‎Хабиб Вентиляция  использует автоматический таймер для исчезающих сообщений в новых чатах. ‎Новые несохраненные сообщения исчезнут из этого чата через ‎24 часа после отправки. ‎Нажмите, чтобы установить свой автоматический таймер.
[6/9/23, 14:12:06] Хабиб Вентиляция : ‎‎Хабиб Вентиляция  отключил(-а) исчезающие сообщения. ‎Нажмите, чтобы изменить.
[6/9/23, 14:13:53] investklimat: Валейкум Ассалам
‎[6/11/23, 13:33:41] investklimat: ‎<прикреплено: 00000400-AUDIO-2023-06-11-13-33-41.opus>
‎[6/11/23, 14:55:45] Хабиб Вентиляция : ‎<прикреплено: 00000401-PHOTO-2023-06-11-14-55-45.jpg>
[6/11/23, 14:58:05] investklimat: Трубы готовы
[6/11/23, 14:58:13] investklimat: 200х200
‎[6/11/23, 14:59:18] investklimat: ‎<прикреплено: 00000404-PHOTO-2023-06-11-14-59-17.jpg>
[6/11/23, 15:03:42] investklimat: за трубы оплачено
‎[6/11/23, 15:10:36] Хабиб Вентиляция : ‎<прикреплено: 00000406-PHOTO-2023-06-11-15-10-36.jpg>
[6/11/23, 15:11:58] Хабиб Вентиляция : Трубу я обклеил
[6/11/23, 15:12:08] Хабиб Вентиляция : Нашёл в другом месте
[6/11/23, 15:13:27] Хабиб Вентиляция : На верх не идут они?
[6/11/23, 15:15:55] Хабиб Вентиляция : Можно так
[6/11/23, 15:16:04] Хабиб Вентиляция : По другому не получается
‎[6/11/23, 15:27:10] investklimat: ‎<прикреплено: 00000414-AUDIO-2023-06-11-15-27-09.opus>
[6/11/23, 15:28:42] Хабиб Вентиляция : Да да
[6/11/23, 15:28:52] Хабиб Вентиляция : Не нужны
‎[6/11/23, 15:29:17] investklimat: ‎<прикреплено: 00000417-AUDIO-2023-06-11-15-29-16.opus>
‎[6/11/23, 15:29:22] Хабиб Вентиляция : ‎<прикреплено: 00000418-AUDIO-2023-06-11-15-29-22.opus>
‎[6/11/23, 15:29:43] Хабиб Вентиляция : ‎<прикреплено: 00000419-PHOTO-2023-06-11-15-29-43.jpg>
[6/11/23, 15:29:51] Хабиб Вентиляция : Проходит же
‎[6/11/23, 15:30:12] investklimat: ‎<прикреплено: 00000421-AUDIO-2023-06-11-15-30-11.opus>
[6/11/23, 15:31:49] investklimat: Понял. Хорошо. Пригодятся наверху.
[6/11/23, 15:31:54] Хабиб Вентиляция : Вот же
‎[6/11/23, 15:32:24] Хабиб Вентиляция : ‎<прикреплено: 00000424-AUDIO-2023-06-11-15-32-24.opus>
‎[6/11/23, 15:33:24] Хабиб Вентиляция : ‎<прикреплено: 00000425-AUDIO-2023-06-11-15-33-24.opus>
‎[6/11/23, 15:33:41] investklimat: ‎<прикреплено: 00000426-AUDIO-2023-06-11-15-33-40.opus>
‎[6/11/23, 15:34:17] investklimat: ‎<прикреплено: 00000427-AUDIO-2023-06-11-15-34-16.opus>
‎[6/11/23, 15:47:41] Хабиб Вентиляция : ‎<прикреплено: 00000428-AUDIO-2023-06-11-15-47-41.opus>
‎[6/11/23, 15:48:39] investklimat: ‎<прикреплено: 00000429-AUDIO-2023-06-11-15-48-38.opus>
‎[6/11/23, 15:49:42] Хабиб Вентиляция : ‎<прикреплено: 00000430-AUDIO-2023-06-11-15-49-42.opus>
‎[6/11/23, 15:50:19] investklimat: ‎<прикреплено: 00000431-AUDIO-2023-06-11-15-50-18.opus>
‎[6/11/23, 16:25:48] Хабиб Вентиляция : ‎<прикреплено: 00000432-AUDIO-2023-06-11-16-25-48.opus>
[6/11/23, 16:26:18] investklimat: Я тоже не могу найти
[6/11/23, 16:26:29] investklimat: Звоню
[6/11/23, 16:27:48] investklimat: В Махачкале купим
‎[6/12/23, 14:09:46] investklimat: ‎<прикреплено: 00000437-AUDIO-2023-06-12-14-09-46.opus>
[6/12/23, 14:24:00] Хабиб Вентиляция : Ва алайкум ассалам
[6/12/23, 14:24:05] Хабиб Вентиляция : Я знаю
[6/12/23, 14:24:09] Хабиб Вентиляция : Зайду
[6/12/23, 14:24:23] Хабиб Вентиляция : Напарник поехал в село на соболезнования
[6/12/23, 14:24:27] Хабиб Вентиляция : Его жду
[6/12/23, 14:24:35] Хабиб Вентиляция : Если сегодня приедет поедем
[6/12/23, 14:24:41] Хабиб Вентиляция : Если нет то завтра
[6/12/23, 14:24:49] investklimat: Понял
[6/12/23, 14:24:51] investklimat: Хорошо
[6/12/23, 14:25:02] Хабиб Вентиляция : Я дам знать
[6/12/23, 14:25:17] Хабиб Вентиляция : 18 квадратов?
[6/12/23, 14:25:24] investklimat: Да
[6/12/23, 14:25:35] Хабиб Вентиляция : Хорошо
[6/12/23, 14:25:54] Хабиб Вентиляция : Там приток больше получается по квадратуре
‎[6/12/23, 14:26:37] investklimat: ‎<прикреплено: 00000452-AUDIO-2023-06-12-14-26-36.opus>
[6/12/23, 14:27:06] Хабиб Вентиляция : Да
[6/12/23, 14:27:25] Хабиб Вентиляция : Два рулона ы привозил пол рулона с 5 этажа
[6/12/23, 14:27:37] Хабиб Вентиляция : В рулоне 35квад же бывает
‎[6/12/23, 14:28:14] investklimat: ‎<прикреплено: 00000456-AUDIO-2023-06-12-14-28-13.opus>
[6/12/23, 14:28:57] Хабиб Вентиляция : Да да
[6/12/23, 14:28:57] Хабиб Вентиляция : Хватит
[6/12/23, 14:29:06] Хабиб Вентиляция : Может даже останется
‎[6/12/23, 15:06:04] Хабиб Вентиляция : ‎<прикреплено: 00000460-AUDIO-2023-06-12-15-06-04.opus>
‎[6/12/23, 15:07:54] Хабиб Вентиляция : ‎<прикреплено: 00000461-PHOTO-2023-06-12-15-07-54.jpg>
‎[6/12/23, 15:10:25] investklimat: ‎<прикреплено: 00000462-AUDIO-2023-06-12-15-10-25.opus>
[6/12/23, 21:40:57] Хабиб Вентиляция : Завтра с утра едем
[6/12/23, 21:43:45] investklimat: Ок
[6/13/23, 08:08:39] Хабиб Вентиляция : Ассаламу алайкум
[6/13/23, 08:08:43] Хабиб Вентиляция : Я на месте
[6/13/23, 08:09:04] investklimat: Валейкум Ассалам
[6/13/23, 08:09:11] investklimat: Понял
‎[6/13/23, 08:20:56] Хабиб Вентиляция : ‎<прикреплено: 00000469-PHOTO-2023-06-13-08-20-56.jpg>
‎[6/13/23, 08:21:04] Хабиб Вентиляция : ‎<прикреплено: 00000470-PHOTO-2023-06-13-08-21-04.jpg>
[6/13/23, 08:21:11] Хабиб Вентиляция : На один уровень не идёт
[6/13/23, 08:24:37] Хабиб Вентиляция : 1.25 трубы не хватает
‎[6/13/23, 08:26:28] investklimat: ‎<прикреплено: 00000473-AUDIO-2023-06-13-08-26-27.opus>
[6/13/23, 08:26:47] Хабиб Вентиляция : Да
[6/13/23, 08:26:53] Хабиб Вентиляция : Две трубы осталось
[6/13/23, 08:26:59] Хабиб Вентиляция : Они собраны
[6/13/23, 08:27:01] Хабиб Вентиляция : Готовы
‎[6/13/23, 08:29:34] investklimat: ‎<прикреплено: 00000478-AUDIO-2023-06-13-08-29-33.opus>
[6/13/23, 08:30:01] Хабиб Вентиляция : Ты не собираешься?
‎[6/13/23, 08:30:36] investklimat: ‎<прикреплено: 00000480-AUDIO-2023-06-13-08-30-35.opus>
‎[6/13/23, 08:31:24] Хабиб Вентиляция : ‎<прикреплено: 00000481-AUDIO-2023-06-13-08-31-24.opus>
[6/13/23, 08:37:21] Хабиб Вентиляция : Свои дела сделай
‎[6/13/23, 08:41:20] Хабиб Вентиляция : ‎<прикреплено: 00000483-AUDIO-2023-06-13-08-41-20.opus>
[6/13/23, 08:42:17] investklimat: Заказал
[6/13/23, 08:47:03] investklimat: Через час сказал будет готово
‎[6/13/23, 08:47:31] investklimat: ‎<прикреплено: 00000486-AUDIO-2023-06-13-08-47-31.opus>
[6/13/23, 08:49:31] Хабиб Вентиляция : Хорошо
[6/13/23, 09:13:30] investklimat: +7 928 050-91-47 Микаил Цех Хасавюрт
‎[6/13/23, 09:13:56] investklimat: ‎<прикреплено: 00000489-AUDIO-2023-06-13-09-13-55.opus>
‎[6/13/23, 10:34:04] Хабиб Вентиляция : ‎<прикреплено: 00000490-PHOTO-2023-06-13-10-34-04.jpg>
[6/13/23, 10:34:08] Хабиб Вентиляция : Еше 2штуки
[6/13/23, 10:34:17] Хабиб Вентиляция : 300на150
[6/13/23, 10:42:41] investklimat: Что это?
[6/13/23, 10:42:47] investklimat: Врезки?
‎[6/13/23, 11:07:40] Хабиб Вентиляция : ‎<прикреплено: 00000495-PHOTO-2023-06-13-11-07-40.jpg>
‎[6/13/23, 11:07:41] Хабиб Вентиляция : ‎<прикреплено: 00000496-PHOTO-2023-06-13-11-07-41.jpg>
‎[6/13/23, 11:08:14] Хабиб Вентиляция : ‎<прикреплено: 00000497-PHOTO-2023-06-13-11-08-14.jpg>
‎[6/13/23, 11:08:41] Хабиб Вентиляция : ‎<прикреплено: 00000498-AUDIO-2023-06-13-11-08-41.opus>
‎[6/13/23, 11:09:40] investklimat: ‎<прикреплено: 00000499-AUDIO-2023-06-13-11-09-39.opus>
‎[6/13/23, 11:10:15] Хабиб Вентиляция : ‎<прикреплено: 00000500-PHOTO-2023-06-13-11-10-15.jpg>
‎[6/13/23, 11:10:16] Хабиб Вентиляция : ‎<прикреплено: 00000501-PHOTO-2023-06-13-11-10-16.jpg>
[6/13/23, 11:11:54] Хабиб Вентиляция : По проекту посмотри сколько стояк
‎[6/13/23, 11:13:32] Хабиб Вентиляция : ‎<прикреплено: 00000503-PHOTO-2023-06-13-11-13-32.jpg>
[6/13/23, 11:14:08] Хабиб Вентиляция : Один стояк вообще нету же
[6/13/23, 11:14:11] Хабиб Вентиляция : Посмотри
[6/13/23, 11:14:17] Хабиб Вентиляция : Может ошибаюсь
‎[6/13/23, 11:16:21] Хабиб Вентиляция : ‎<прикреплено: 00000507-AUDIO-2023-06-13-11-16-21.opus>
[6/13/23, 11:21:59] investklimat: На один стояк 1,25м. труба + 1м.
[6/13/23, 11:22:48] Хабиб Вентиляция : 5 стояк где
‎[6/13/23, 11:23:59] Хабиб Вентиляция : Вот тут тоесть 2 стояка ‎<прикреплено: 00000513-PHOTO-2023-06-13-11-23-59.jpg>
‎[6/13/23, 11:25:16] investklimat: ‎<прикреплено: 00000515-AUDIO-2023-06-13-11-25-15.opus>
‎[6/13/23, 11:27:37] Хабиб Вентиляция : ‎<прикреплено: 00000516-AUDIO-2023-06-13-11-27-37.opus>
‎[6/13/23, 11:27:55] Хабиб Вентиляция : ‎<прикреплено: 00000517-AUDIO-2023-06-13-11-27-55.opus>
[6/13/23, 11:30:31] investklimat: 1) труба 1,25 - 1 шт. 2) труба 0,75 - 1 шт. 3) труба 0,95 - 1 шт.
‎[6/13/23, 11:30:44] investklimat: ‎<прикреплено: 00000519-AUDIO-2023-06-13-11-30-43.opus>
[6/13/23, 11:30:51] investklimat: Так же?
[6/13/23, 11:41:19] Хабиб Вентиляция : Да
‎[6/13/23, 12:46:27] Хабиб Вентиляция : ‎<прикреплено: 00000522-PHOTO-2023-06-13-12-46-27.jpg>
‎[6/13/23, 12:46:38] Хабиб Вентиляция : ‎<прикреплено: 00000523-PHOTO-2023-06-13-12-46-38.jpg>
‎[6/13/23, 12:47:00] Хабиб Вентиляция : ‎<прикреплено: 00000524-PHOTO-2023-06-13-12-47-00.jpg>
‎[6/13/23, 12:48:13] investklimat: ‎<прикреплено: 00000525-AUDIO-2023-06-13-12-48-12.opus>
‎[6/13/23, 12:49:57] Хабиб Вентиляция : ‎<прикреплено: 00000526-AUDIO-2023-06-13-12-49-57.opus>
[6/13/23, 12:51:47] Хабиб Вентиляция : 5труб зайдут а машину интересно
‎[6/13/23, 12:52:22] investklimat: ‎<прикреплено: 00000528-AUDIO-2023-06-13-12-52-22.opus>
[6/13/23, 12:52:44] Хабиб Вентиляция : Все хорошо
[6/13/23, 12:52:58] Хабиб Вентиляция : По обедаю позвоню
[6/13/23, 16:28:19] Хабиб Вентиляция : Еше
[6/13/23, 16:28:36] Хабиб Вентиляция : Нужно?
‎[6/13/23, 16:29:04] Хабиб Вентиляция : ‎<прикреплено: 00000534-AUDIO-2023-06-13-16-29-04.opus>
[6/13/23, 16:29:32] investklimat: Вбок
‎[6/13/23, 16:29:51] Хабиб Вентиляция : ‎<прикреплено: 00000536-AUDIO-2023-06-13-16-29-51.opus>
‎[6/13/23, 16:31:25] investklimat: ‎<прикреплено: 00000537-AUDIO-2023-06-13-16-31-24.opus>
‎[6/13/23, 16:32:22] investklimat: ‎<прикреплено: 00000538-AUDIO-2023-06-13-16-32-21.opus>
[6/13/23, 16:32:45] investklimat: 300х150
‎[6/13/23, 16:35:33] Хабиб Вентиляция : ‎<прикреплено: 00000540-AUDIO-2023-06-13-16-35-33.opus>
[6/13/23, 16:36:03] investklimat: Он не читает
[6/13/23, 16:36:08] investklimat: Звонить надо
[6/13/23, 16:37:05] Хабиб Вентиляция : Загружен
‎[6/13/23, 17:46:04] Хабиб Вентиляция : ‎<прикреплено: 00000544-PHOTO-2023-06-13-17-46-04.jpg>
‎[6/13/23, 17:46:05] Хабиб Вентиляция : ‎<прикреплено: 00000545-PHOTO-2023-06-13-17-46-05.jpg>
‎[6/13/23, 18:22:06] Хабиб Вентиляция : ‎<прикреплено: 00000546-PHOTO-2023-06-13-18-22-06.jpg>
‎[6/13/23, 18:22:06] Хабиб Вентиляция : ‎<прикреплено: 00000547-PHOTO-2023-06-13-18-22-06.jpg>
‎[6/13/23, 19:03:37] Хабиб Вентиляция : ‎<прикреплено: 00000548-PHOTO-2023-06-13-19-03-37.jpg>
[6/13/23, 19:12:58] investklimat: Это что?
[6/13/23, 19:14:34] Хабиб Вентиляция : Не закончили
[6/13/23, 19:14:34] Хабиб Вентиляция : Завтра к 9 часам
‎[6/13/23, 19:14:37] Хабиб Вентиляция : ‎<прикреплено: 00000552-AUDIO-2023-06-13-19-14-37.opus>
‎[6/13/23, 19:14:52] Хабиб Вентиляция : ‎<прикреплено: 00000553-AUDIO-2023-06-13-19-14-52.opus>
‎[6/13/23, 19:16:23] investklimat: ‎<прикреплено: 00000554-AUDIO-2023-06-13-19-16-22.opus>
[6/13/23, 19:17:11] Хабиб Вентиляция : Вот же
‎[6/13/23, 19:17:36] investklimat: ‎<прикреплено: 00000556-AUDIO-2023-06-13-19-17-35.opus>
‎[6/13/23, 19:17:40] Хабиб Вентиляция : ‎<прикреплено: 00000557-PHOTO-2023-06-13-19-17-40.jpg>
[6/13/23, 19:17:46] Хабиб Вентиляция : Тут смотри
[6/13/23, 19:18:04] Хабиб Вентиляция : Пенафол скотч вчерашнего нету
[6/13/23, 19:57:28] Хабиб Вентиляция : Деньги тоже закоечились
[6/13/23, 19:58:56] Хабиб Вентиляция : Последние на обед отдал
[6/13/23, 20:08:17] Хабиб Вентиляция : Каждый день кушать 1200 1300
[6/13/23, 20:16:17] investklimat: Хабиб, сколько отправить?
[6/13/23, 20:17:06] Хабиб Вентиляция : 5т отправь
[6/13/23, 20:20:17] Хабиб Вентиляция : Если думаешь много написал от себя
[6/13/23, 20:20:30] Хабиб Вентиляция : Мне завтра тоже работа нужна брат
‎[6/13/23, 20:25:40] investklimat: ‎<прикреплено: 00000567-AUDIO-2023-06-13-20-25-39.opus>
‎[6/13/23, 20:28:23] Хабиб Вентиляция : ‎<прикреплено: 00000568-AUDIO-2023-06-13-20-28-23.opus>
[6/14/23, 08:43:50] Хабиб Вентиляция : Ассаламу алайкум
[6/14/23, 08:43:58] Хабиб Вентиляция : Трубы готовы
[6/14/23, 08:48:12] investklimat: Валейкум ассалам
‎[6/14/23, 09:49:33] Хабиб Вентиляция : ‎<прикреплено: 00000572-PHOTO-2023-06-14-09-49-33.jpg>
‎[6/14/23, 09:51:35] investklimat: ‎<прикреплено: 00000573-AUDIO-2023-06-14-09-51-34.opus>
‎[6/14/23, 10:16:22] Хабиб Вентиляция : ‎<прикреплено: 00000574-PHOTO-2023-06-14-10-16-22.jpg>
[6/14/23, 10:16:38] Хабиб Вентиляция : И каждый день по 2 три раза
‎[6/14/23, 10:16:46] Хабиб Вентиляция : ‎<прикреплено: 00000576-PHOTO-2023-06-14-10-16-46.jpg>
‎[6/14/23, 10:23:49] investklimat: ‎<прикреплено: 00000577-AUDIO-2023-06-14-10-23-49.opus>
[6/14/23, 11:02:02] Хабиб Вентиляция : Да
[6/14/23, 11:02:02] Хабиб Вентиляция : Мелочь
[6/14/23, 11:02:03] Хабиб Вентиляция : Напарника как звать
[6/14/23, 11:16:09] investklimat: Мурад
[6/14/23, 11:35:42] Хабиб Вентиляция : Чеера мага звонил
[6/14/23, 11:35:47] Хабиб Вентиляция : Работу предогал
[6/14/23, 11:35:54] Хабиб Вентиляция : Акбар какой то магазин
[6/14/23, 11:36:09] Хабиб Вентиляция : Ваша работа наверно
[6/14/23, 11:37:31] Хабиб Вентиляция : Или другой мурад
‎[6/14/23, 11:37:39] Хабиб Вентиляция : ‎<прикреплено: 00000587-PHOTO-2023-06-14-11-37-39.jpg>
[6/14/23, 11:37:45] Хабиб Вентиляция : Сотка осталось
[6/14/23, 11:44:58] investklimat: Вроде нет такого объекта у нас
[6/14/23, 11:56:37] Хабиб Вентиляция : Свет отключили
[6/14/23, 15:43:50] investklimat: Не дали?
[6/14/23, 15:43:53] investklimat: Свет
[6/14/23, 15:43:58] Хабиб Вентиляция : Дали
[6/14/23, 15:44:04] Хабиб Вентиляция : Финиш
[6/14/23, 15:44:30] investklimat: Одно видео сделай, Хабиб
[6/14/23, 15:44:44] investklimat: Что все готово
[6/14/23, 15:44:51] investklimat: Для заказчика
[6/14/23, 15:53:38] Хабиб Вентиляция : Он был тут
[6/14/23, 16:10:12] Хабиб Вентиляция : ?
[6/14/23, 16:46:04] investklimat: Ничего, думаю можно так оставить
‎[6/14/23, 17:09:33] Хабиб Вентиляция : ‎<прикреплено: 00000602-PHOTO-2023-06-14-17-09-33.jpg>
‎[6/14/23, 17:09:53] Хабиб Вентиляция : ‎<прикреплено: 00000603-AUDIO-2023-06-14-17-09-53.opus>
‎[6/14/23, 17:10:43] investklimat: ‎<прикреплено: 00000604-AUDIO-2023-06-14-17-10-42.opus>
‎[6/14/23, 17:12:20] Хабиб Вентиляция : ‎<прикреплено: 00000606-PHOTO-2023-06-14-17-12-20.jpg>
‎[6/14/23, 17:12:59] investklimat: ‎<прикреплено: 00000607-AUDIO-2023-06-14-17-12-59.opus>
‎[6/14/23, 17:13:16] investklimat: ‎<прикреплено: 00000608-AUDIO-2023-06-14-17-13-16.opus>
[6/14/23, 17:22:03] Хабиб Вентиляция : Деньги как?
[6/14/23, 17:23:08] investklimat: Закину
[6/14/23, 17:23:15] investklimat: На карту
‎[6/14/23, 17:24:23] Хабиб Вентиляция : ‎<прикреплено: 00000612-AUDIO-2023-06-14-17-24-23.opus>
[6/14/23, 17:24:49] Хабиб Вентиляция : Верхний этаж не скоро как я понял
[6/14/23, 17:25:03] Хабиб Вентиляция : И на счёт питание тоже
